DESTINATIONID,Place Name,State,Tourist Location,Popularity,Review,Type,Budget
1368,Lawngtlai,Mizoram,Tlabung Village,Medium,"Mizo village, cultural immersion.",Village,2000
1369,Leh,Jammu and Kashmir,Pangong Lake,High,"Lake, scenic beauty, movie shooting location.",Nature,1000
1370,Leh,Jammu and Kashmir,Nubra Valley,Medium,"Valley, sand dunes, camel safaris.",Nature,1500
1371,Likir,Ladakh,Likir Monastery,Medium,"Buddhist monastery, panoramic views.",Spiritual,2000
1372,Likir,Ladakh,Likir Gompa,Medium,"Buddhist monastery, cultural heritage.",Spiritual,1000
1373,Likir,Ladakh,Basgo Monastery,Medium,"Buddhist monastery, historical significance.",Spiritual,1500
1374,Lonavala,Maharashtra,Bhaja Caves,Medium,"Buddhist caves, historical site.",Historical,2000
1375,Lonavala,Maharashtra,Karla Caves,Medium,"Buddhist caves, rock-cut architecture.",Historical,1000
1376,Lonavala,Maharashtra,"Tiger's Leap, Lonavala",Medium,"Viewpoint, scenic valley views.",Nature,1500
1377,Longleng,Nagaland,Phom Monastery,High,"Buddhist monastery, religious significance.",Spiritual,2000
1378,Longleng,Nagaland,Milang Mon,High,"Naga village, cultural experiences.",Village,1000
1379,Longleng,Nagaland,Linlang,High,"Naga village, traditional festivals.",Village,1500
1380,Longleng,Nagaland,Loklang,High,"Naga village, cultural heritage.",Village,2000
1381,Longleng,Nagaland,Chenkai,High,"Naga village, natural beauty.",Village,1000
1382,Loni,Uttar Pradesh,Rajiv Gandhi Bio Diversity Park,Medium,"Botanical garden, biodiversity conservation.",Nature,1500
1383,Lucknow,Uttar Pradesh,Bara Imambara,High,"Architectural marvel, labyrinthine design.",Historical,2000
1384,Lucknow,Uttar Pradesh,Chota Imambara,Medium,"Intricate decorations, historical significance.",Historical,1000
1385,Lucknow,Uttar Pradesh,Rumi Darwaza,Medium,"Iconic gateway, fine architectural details.",Historical,1500
1386,Lucknow,Uttar Pradesh,Ambedkar Park,Low,"Landscaped gardens, memorial statues.",Nature,2000
1387,Ludhiana,Punjab,Lodhi Fort,Medium,"Historical fort, architectural ruins.",Historical,1000
1388,Ludhiana,Punjab,Rural Olympics,Low,"Sporting event, traditional Punjabi games.",Entertainment,1500
1389,Ludhiana,Punjab,Tiger Safari,Medium,"Safari park, tiger and lion enclosures.",Nature,2000
1390,Ludhiana,Punjab,Nehru Rose Garden,Medium,"Rose garden, floral exhibitions.",Nature,1000
1391,Ludhiana,Punjab,Punjab Agricultural University,Medium,"University campus, agricultural research.",City,1500
1392,Ludhiana,Punjab,Payal Fort,Medium,"Historical fort, panoramic views.",Historical,2000
1393,Lunglei,Mizoram,Thorangtlang Wildlife Sanctuary,High,"Wildlife sanctuary, birdwatching.",Nature,1000
1394,Lunglei,Mizoram,Kawmzawl Park,Medium,"Public park, recreational activities.",Nature,1500
1395,Lunglei,Mizoram,Nghasih Stream,Medium,"Scenic stream, picnic spot.",Nature,2000
1396,Machilipatnam,Andhra Pradesh,Manginapudi Beach,Medium,"Beach, recreational activities.",Nature,1000
1397,Machilipatnam,Andhra Pradesh,Machilipatnam Fort,Medium,"Historical fort, architectural beauty.",Historical,1500
1398,Machilipatnam,Andhra Pradesh,Panduranga Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1399,Madakasira,Andhra Pradesh,Madakasira Fort,Medium,"Historical fort, architectural beauty.",Historical,1000
1400,Madakasira,Andhra Pradesh,Madakasira Railway Station,Medium,"Railway station, transportation hub.",City,1500
1401,Madanapalle,Andhra Pradesh,Puligundu Lake,Medium,"Lake, birdwatching.",Nature,2000
1402,Madgaon,Goa,Colva Beach,Medium,"Popular beach, water sports.",Beach,1000
1403,Madgaon,Goa,Benaulim Beach,Medium,"Secluded beach, serene atmosphere.",Beach,1500
1404,Madgaon,Goa,Basilica of Our Lady of the Mount,Medium,"Old church, religious significance.",Spiritual,2000
1405,Madgaon,Goa,Betul Beach,Medium,"Scenic beach, fishing village.",Beach,1000
1406,Madhira,Telangana,Palair Reservoir,Medium,"Reservoir, scenic views.",Nature,1500
1407,Madhira,Telangana,Panchalingala Ramalingeshwara Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1408,Madhubani,Bihar,Madhubani Art Gallery,Medium,"Art gallery, showcasing Madhubani paintings.",Unique,1000
1409,Madhupur,Jharkhand,Tatlo Pani Falls,Medium,"Scenic waterfall, natural beauty.",Nature,1500
1410,Madhupur,Jharkhand,Madhupur Dham,Medium,"Hindu temple, pilgrimage site.",Spiritual,2000
1411,Madhupur,Jharkhand,Maharaja Palace,Medium,"Historical palace, architectural beauty.",Historical,1000
1412,Madhyamgram,West Bengal,Adyapith Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1413,Madhyamgram,West Bengal,Madhyamgram Chowmatha,Medium,"Town square, urban area.",Unique,2000
1414,Madhyamgram,West Bengal,Aranyak Resort,Medium,"Resort, nature retreat.",Nature,1000
1415,Madurai,Tamil Nadu,Meenakshi Amman Temple,High,"Iconic temple, Dravidian architecture.",Spiritual,1500
1416,Madurai,Tamil Nadu,Thirumalai Nayakkar Mahal,Medium,"Historical palace, architectural marvel.",Historical,2000
1417,Madurai,Tamil Nadu,Gandhi Memorial Museum,Medium,Museum showcasing Gandhi's life and teachings.,City,1000
1418,Madurai,Tamil Nadu,Thirumalai Nayakkar Palace,Medium,"Historical palace, architectural beauty.",Historical,1500
1419,Madurai,Tamil Nadu,Vaigai River,Medium,"Scenic river, boat rides, picnic spot.",Nature,2000
1420,Madurai,Tamil Nadu,Koodal Azhagar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1421,Mahabaleshwar,Maharashtra,Pratapgarh Fort,High,"Historical fort, panoramic views.",Historical,1500
1422,Mahabaleshwar,Maharashtra,Venna Lake,Medium,"Scenic lake, boating facilities.",Nature,2000
1423,Mahabaleshwar,Maharashtra,Mapro Garden,Medium,"Garden, strawberry farm.",Nature,1000
1424,Maharajganj,Uttar Pradesh,Indira Bal Vihar,Medium,"Children's park, recreational activities.",Nature,1500
1425,Maharajganj,Uttar Pradesh,Baba Chaturvedi Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1426,Maharajganj,Uttar Pradesh,Mau Chakwa Sun Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1427,Mahbubnagar,Telangana,Pillalamarri,Medium,"Banyan tree, picnic spot.",Nature,1500
1428,Mahbubnagar,Telangana,Jogulamba Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1429,Mahbubnagar,Telangana,Mallela Theertham,Medium,"Waterfall, natural beauty.",Nature,1000
1430,Mahbubnagar,Telangana,Koilsagar Dam,High,"Water reservoir, scenic beauty.",Nature,1500
1431,Mahbubnagar,Telangana,Gadwal Fort,High,"Historical fort, architectural beauty.",Historical,2000
1432,Mahbubnagar,Telangana,Pillalamari,High,"Natural rock formations, scenic views.",Nature,1000
1433,Mahbubnagar,Telangana,Alampur Temples,High,"Historical temple complex, religious significance.",Spiritual,1500
1434,Mahbubnagar,Telangana,Koilkonda Fort,High,"Historical fort, panoramic views.",Historical,2000
1435,Mahbubnagar,Telangana,Srirangapur Temple,High,"Hindu temple, religious rituals.",Spiritual,1000
1436,Mahbubnagar,Telangana,Jurala Dam,High,"Water reservoir, boating, and fishing.",Nature,1500
1437,Mahesana,Gujarat,Thol Lake Bird Sanctuary,Medium,"Bird sanctuary, birdwatching.",Nature,2000
1438,Mahesana,Gujarat,Uttarvahini Ekadashi Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1439,Malappuram,Kerala,Kottakkunnu,Medium,"Hill station, panoramic views.",Nature,1500
1440,Malappuram,Kerala,Kodikuthimala,Medium,"Hill station, trekking destination.",Nature,2000
1441,Malappuram,Kerala,Kerala Kalamandalam,Medium,"Art school, cultural education.",City,1000
1442,Malda,West Bengal,Adina Mosque,High,"Historical mosque, architectural significance.",Historical,1500
1443,Malda,West Bengal,Jagjivan Ram Park,Medium,"Public park, recreational activities.",Nature,2000
1444,Malda,West Bengal,Malda Museum,Medium,"Museum, historical artifacts.",Unique,1000
1445,Malda,West Bengal,Ramkeli,Medium,"Historical site, pilgrimage destination.",Spiritual,1500
1446,Malegaon,Maharashtra,Chandwad Fort,Medium,"Historical fort, panoramic views.",Historical,2000
1447,Malegaon,Maharashtra,Muktidham Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1448,Malegaon,Maharashtra,"Navshya Ganpati Temple, Malegaon",Medium,"Hindu temple, dedicated to Lord Ganesh.",Spiritual,1500
1449,Malegaon,Maharashtra,Malegaon Fort,Medium,"Historical fort, panoramic views.",Historical,2000
1450,Malegaon,Maharashtra,"Ram Mandir, Malegaon",Medium,"Hindu temple, religious rituals.",Spiritual,1000
1451,Mamit,Mizoram,Mamit Park,Medium,"Public park, leisure activities.",Nature,1500
1452,Mamit,Mizoram,Vantawng Falls,High,"Spectacular waterfall, natural beauty.",Nature,2000
1453,Mamit,Mizoram,Mamit Presbyterian Church,High,"Church, religious significance.",Spiritual,1000
1454,Manali,Himachal Pradesh,Rohtang Pass,High,"Mountain pass, snow activities.",Nature,1500
1455,Manali,Himachal Pradesh,Solang Valley,Medium,"Valley, adventure sports.",Nature,2000
1456,Manali,Himachal Pradesh,Hadimba Devi Temple,Medium,"Hindu temple, pagoda-style architecture.",Spiritual,1000
1457,Mandsaur,Madhya Pradesh,Pashupatinath Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1458,Mandsaur,Madhya Pradesh,Gandhi Sagar Sanctuary,Medium,"Wildlife sanctuary, birdwatching.",Nature,2000
1459,Mandsaur,Madhya Pradesh,Krishna Pura Chhatri,Medium,"Historical site, architectural beauty.",Historical,1000
1460,Mandya,Karnataka,Ranganathittu Bird Sanctuary,Medium,"Bird sanctuary, birdwatching.",Nature,1500
1461,Mandya,Karnataka,Arkeshwara Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1462,Mandya,Karnataka,Talakadu,Medium,"Historical site, archaeological significance.",Historical,1000
1463,Mangalore,Karnataka,Tannirbhavi Beach,Medium,"Scenic beach, sunset views.",Nature,1500
1464,Mangalore,Karnataka,Kadri Manjunath Temple,Medium,"Hindu temple, ancient shrine.",Spiritual,2000
1465,Mangalore,Karnataka,Pilikula Nisargadhama,Medium,"Nature park, botanical garden.",Nature,1000
1466,Mangalore,Karnataka,Kudroli Gokarnath Temple,Medium,"Hindu temple, cultural significance.",Spiritual,1500
1467,Mangalore,Karnataka,Panambur Beach,Medium,"Popular beach, water sports.",Nature,2000
1468,Mangalore,Karnataka,St. Aloysius Chapel,Medium,"Church, architectural beauty.",Spiritual,1000
1469,Manuguru,Telangana,Sri Bhadrakali Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1470,Manuguru,Telangana,Singareni Colleries Company Limited,Medium,"Coal mine, industrial visit.",City,2000
1471,Mapusa,Goa,Mapusa Market,Medium,"Local market, fresh produce and spices.",City,1000
1472,Mapusa,Goa,St. Jerome's Church,Medium,"Old church, religious significance.",Spiritual,1500
1473,Mapusa,Goa,Arambol Beach,Medium,"Tranquil beach, hippie culture.",Beach,2000
1474,Margao,Goa,Mangeshi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1475,Margao,Goa,Our Lady of the Rosary Church,Medium,"Christian church, religious rituals.",Spiritual,1500
1476,Margao,Goa,Our Lady of the Immaculate Conception Church,High,"Iconic church, colonial architecture.",Spiritual,2000
1477,Margao,Goa,Ancestral Goa,High,"Open-air museum, Goan history and culture.",Unique,1000
1478,Markapur,Andhra Pradesh,Markapuram,Medium,"Town, urban area.",City,1500
1479,Markapur,Andhra Pradesh,Big Mosque,Medium,"Mosque, religious rituals.",Spiritual,2000
1480,Markapur,Andhra Pradesh,Markapur Cotton Market,Medium,"Market, shopping.",Unique,1000
1481,Markapur,Andhra Pradesh,Malleswara Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1482,Markapur,Andhra Pradesh,Krishna River Bridge,Medium,"Bridge, scenic views.",Nature,2000
1483,Markapur,Andhra Pradesh,Marasugupalli,Medium,"Town, urban area.",City,1000
1484,Mathura,Uttar Pradesh,Shri Krishna Janmasthan Temple,High,"Hindu temple, birthplace of Lord Krishna.",Spiritual,1500
1485,Mathura,Uttar Pradesh,Govardhan Hill,Medium,"Pilgrimage site, sacred hill.",Spiritual,2000
1486,Mathura,Uttar Pradesh,Shri Krishna Janmabhoomi,Medium,"Hindu temple, birthplace of Lord Krishna.",Spiritual,1000
1487,Mathura,Uttar Pradesh,Shri Banke Bihari Mandir,Medium,"Hindu temple, dedicated to Lord Krishna.",Spiritual,1500
1488,Mathura,Uttar Pradesh,Krishna Janmabhoomi Temple,High,"Hindu temple, birthplace of Lord Krishna.",Spiritual,2000
1489,Mathura,Uttar Pradesh,Banke Bihari Temple,High,"Hindu temple, dedicated to Lord Krishna.",Spiritual,1000
1490,Mathura,Uttar Pradesh,Shri Radha Rani Temple,Medium,"Hindu temple, spiritual significance.",Spiritual,1500
1491,Mau,Uttar Pradesh,Chiraiyakot Fort,Medium,"Historical fort, panoramic views.",Historical,2000
1492,Mau,Uttar Pradesh,Bahadur Shah Zafar Park,Medium,"Urban park, recreational activities.",Nature,1000
1493,Mau,Uttar Pradesh,"Shri Ram Mandir, Mau",Medium,"Hindu temple, religious rituals.",Spiritual,1500
1494,Mau,Uttar Pradesh,"Bharat Mata Mandir, Mau",Medium,"Hindu temple, patriotic significance.",Spiritual,2000
1495,Mayabunder,Andaman and Nicobar Islands,Karmatang Beach,Medium,"Uncrowded beach, turtle nesting site.",Nature,1000
1496,Mayabunder,Andaman and Nicobar Islands,Avis Island,Low,"Remote island, birdwatching.",Nature,1500
1497,Mayabunder,Andaman and Nicobar Islands,"Mangrove Creek, Mayabunder",Low,"Mangrove forest, boat tours.",Nature,2000
1498,Mayabunder,Andaman and Nicobar Islands,Rampur Beach,Low,"Secluded beach, relaxation.",Nature,1000
1499,Mayabunder,Andaman and Nicobar Islands,"St. Stephen's Church, Mayabunder",Low,"Historical church, colonial-era architecture.",Spiritual,1500
1500,Meerut,Uttar Pradesh,"Augarnath Temple, Meerut",Medium,"Hindu temple, religious significance.",Spiritual,2000
1501,Meerut,Uttar Pradesh,"Sardhana Church, Meerut",Medium,"Historical church, architectural beauty.",Spiritual,1000
1502,Meerut,Uttar Pradesh,"St. John's Church, Meerut",Medium,"Oldest church, colonial architecture.",Spiritual,1500
1503,Meerut,Uttar Pradesh,Shahpeer Sahab Shrine,Medium,"Sufi shrine, spiritual significance.",Spiritual,2000
1504,Meerut,Uttar Pradesh,Suraj Kund,Medium,"Historical reservoir, scenic views.",Nature,1000
1505,Mehsana,Gujarat,"Rani Ki Vav, Mehsana",High,"Stepwell, UNESCO World Heritage Site.",Historical,1500
1506,Mehsana,Gujarat,Thol Bird Sanctuary,Medium,"Bird sanctuary, birdwatching.",Nature,2000
1507,Mehsana,Gujarat,Modhera Sun Temple,High,"Hindu temple, architectural beauty.",Spiritual,1000
1508,Mehsana,Gujarat,Harij Vav,High,"Stepwell, historical significance.",Historical,1500
1509,Mehsana,Gujarat,Taranga Hill,High,"Hill station, Jain pilgrimage site.",Nature,2000
1510,Minicoy,Lakshadweep,Minicoy Island,Medium,"Largest island, cultural heritage.",Unique,1000
1511,Minicoy,Lakshadweep,Minicoy Lighthouse,Medium,"Historical lighthouse, panoramic views.",Nature,1500
1512,Minicoy,Lakshadweep,Minicoy Beach,Medium,"Scenic beach, water sports.",Nature,2000
1513,Minicoy,Lakshadweep,Tunjivallah Mosque,Medium,"Historical mosque, architectural beauty.",Spiritual,1000
1514,Minicoy,Lakshadweep,Minicoy Tuna Canning Factory,Medium,"Tuna processing, industrial site.",City,1500
1515,Miryalaguda,Telangana,Baruva Beach,Medium,"Scenic beach, relaxation spot.",Nature,2000
1516,Miryalaguda,Telangana,Miryalaguda Hanuman Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1517,Miryalaguda,Telangana,Nagarjuna Sagar Dam,Medium,"Dam, hydroelectric power generation.",Nature,1500
1518,Miryalaguda,Telangana,Laxmi Narasimha Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1519,Miryalaguda,Telangana,Devarakonda Fort,Medium,"Historical fort, panoramic views.",Historical,1000
1520,Miryalaguda,Telangana,Gopinath Reddy Stadium,Medium,"Cricket stadium, sports events.",Entertainment,1500
1521,Mirzapur,Uttar Pradesh,Vindhyavasini Devi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1522,Mirzapur,Uttar Pradesh,Chunar Fort,Medium,"Historical fort, panoramic views.",Historical,1000
1523,Mirzapur,Uttar Pradesh,Ramnagar Fort,Medium,"Historical fort, architectural ruins.",Historical,1500
1524,Moga,Punjab,Gurdwara Nanaksar Sahib,Medium,"Sikh gurdwara, religious rituals.",Spiritual,2000
1525,Moga,Punjab,Senior Secondary School,Medium,"School, educational institution.",City,1000
1526,Moga,Punjab,Burj Hari Singh,Medium,"Historical site, architectural significance.",Historical,1500
1527,Mohali,Punjab,Gurudwara Amb Sahib,Medium,"Sikh temple, religious rituals.",Spiritual,2000
1528,Mohali,Punjab,Thunder Zone Amusement Park,Medium,"Amusement park, water rides.",Entertainment,1000
1529,Mokokchung,Nagaland,Longkhum,High,"Naga village, scenic views.",Village,1500
1530,Mokokchung,Nagaland,Mokokchung Village,High,"Naga village, cultural immersion.",Village,2000
1531,Mokokchung,Nagaland,Mokokchung Park,Medium,"Public park, recreational activities.",Nature,1000
1532,Mokokchung,Nagaland,Changkikong Range,High,"Mountain range, trekking, and hiking.",Adventure,1500
1533,Mokokchung,Nagaland,Chuchuyimlang,High,"Naga village, traditional festivals.",Village,2000
1534,Mon,Nagaland,Veda Peak,High,"Peak, trekking, and panoramic views.",Adventure,1000
1535,Mon,Nagaland,Chui Village,High,"Naga village, traditional way of life.",Village,1500
1536,Mon,Nagaland,Hongphoi Village,High,"Naga village, cultural immersion.",Village,2000
1537,Mon,Nagaland,Hidden Valley,High,"Valley, lush greenery, and biodiversity.",Nature,1000
1538,Mon,Nagaland,Lonely Tree,High,"Scenic viewpoint, panoramic views.",Nature,1500
1539,Moradabad,Uttar Pradesh,Prem Wonderland and Water Kingdom,Medium,"Amusement park, water slides and rides.",Entertainment,2000
1540,Moradabad,Uttar Pradesh,Raza Library,Medium,"Historical library, rare manuscripts.",Historical,1000
1541,Moradabad,Uttar Pradesh,Pakbara,High,"Graveyard, historical significance.",Historical,1500
1542,Moradabad,Uttar Pradesh,Prem Mandir,Medium,"Hindu temple, spiritual retreat.",Spiritual,2000
1543,Moradabad,Uttar Pradesh,Brass Market,Medium,"Marketplace, brassware shopping.",City,1000
1544,Morena,Madhya Pradesh,Kakanmath Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1545,Morena,Madhya Pradesh,Mitaoli Jain Temple,Medium,"Jain temple, religious rituals.",Spiritual,2000
1546,Morena,Madhya Pradesh,Bateshwar Temples,Medium,"Hindu temple complex, architectural beauty.",Historical,1000
1547,Morena,Madhya Pradesh,Mithun Dham,Medium,"Hindu temple, religious rituals.",Spiritual,1500
1548,Morena,Madhya Pradesh,Garhi Padhavali,Medium,"Historical site, archaeological ruins.",Historical,2000
1549,Morena,Madhya Pradesh,Chausath Yogini Temple,Medium,"Hindu temple, historical significance.",Spiritual,1000
1550,Morena,Madhya Pradesh,"Mahasati, Morena",Medium,"Historical site, memorial to Sati.",Historical,1500
1551,Morena,Madhya Pradesh,Sabalgarh Fort,Medium,"Historical fort, Mughal architecture.",Historical,2000
1552,Mount Abu,Rajasthan,Dilwara Temples,High,"Jain temples, architectural beauty, pilgrimage.",Spiritual,1000
1553,Mount Abu,Rajasthan,Nakki Lake,Medium,"Artificial lake, boating, sunset views.",Nature,1500
1554,Mount Abu,Rajasthan,Guru Shikhar,Medium,"Hilltop, panoramic views, trekking.",Nature,2000
1555,Mumbai,Maharashtra,Gateway of India,High,"Iconic landmark, bustling atmosphere.",Historical,1000
1556,Mumbai,Maharashtra,Elephanta Caves,High,"Ancient sculptures, interesting history.",Historical,1500
1557,Mumbai,Maharashtra,Siddhivinayak Temple,Medium,"Famous temple, spiritual vibes.",Spiritual,2000
1558,Mumbai,Maharashtra,Chhatrapati Shivaji Maharaj Terminus,High,"Historical railway station, UNESCO World Heritage Site.",Historical,1000
1559,Mumbai,Maharashtra,Juhu Beach,Medium,"Popular beach, recreational activities.",Beach,1500
1560,Munger,Bihar,Haveli of Pir Shah Nufa,Medium,"Islamic mosque, architectural beauty.",Spiritual,2000
1561,Munger,Bihar,Vikramshila University,Medium,"Archaeological site, ancient university ruins.",Historical,1000
1562,Munger,Bihar,Rishikund,Medium,"Hindu pilgrimage site, religious rituals.",Spiritual,1500
1563,Munger,Bihar,Munger Fort,Medium,"Historical fort, architectural beauty.",Historical,2000
1564,Mussoorie,Uttarakhand,Kempty Falls,Medium,"Waterfall, picnic spot, swimming.",Nature,1000
1565,Mussoorie,Uttarakhand,Gun Hill,Medium,"Hill station, cable car ride, panoramic views.",Nature,1500
1566,Mussoorie,Uttarakhand,Camel's Back Road,Medium,"Promenade, walking trail, sunset views.",Nature,2000
1567,Muzaffarpur,Bihar,Ramna Devi Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1568,Muzaffarpur,Bihar,Jubba Sahni Park,Medium,"Urban park, recreational activities.",Nature,1500
1569,Muzaffarpur,Bihar,Ramchaura Mandir,Medium,"Hindu temple, cultural significance.",Spiritual,2000
1570,Muzaffarpur,Bihar,Kali Mata Mandir,Medium,"Hindu temple, spiritual significance.",Spiritual,1000
1571,Mysore,Karnataka,Mysore Palace,High,"Royal palace, grand architecture.",Historical,1500
1572,Mysore,Karnataka,Brindavan Gardens,High,"Lush gardens, musical fountain show.",Nature,2000
1573,Mysore,Karnataka,Chamundi Hill Temple,Medium,"Hindu temple, panoramic views.",Spiritual,1000
1574,Mysore,Karnataka,Chamundi Hill,High,"Hill, temple dedicated to Goddess Chamundeshwari.",Spiritual,1500
1575,Nadiad,Gujarat,Santram Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1576,Nadiad,Gujarat,Mukta Bai Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1577,Nadiad,Gujarat,Kirti Mandir,Medium,"Hindu temple, architectural beauty.",Spiritual,1500
1578,Nagaon,Assam,Haflong Lake,Medium,"Lake, scenic surroundings.",Nature,2000
1579,Nagaon,Assam,"Shree Ram Mandir, Nagaon",Medium,"Hindu temple, religious rituals.",Spiritual,1000
1580,Nagaon,Assam,Sivasagar Tank,Medium,"Tank, historical significance.",Historical,1500
1581,Nagaon,Assam,Lanka Reserve Forest,Medium,"Forest reserve, hiking trails.",Nature,2000
1582,Nagaon,Assam,Maibang Railway Station,Medium,"Historical railway station, colonial era.",Historical,1000
1583,Nagaon,Assam,Sukapha Samannay Kshetra,Medium,"Monument, tribute to historical figure.",Historical,1500
1584,Nagapattinam,Tamil Nadu,"Velankanni Church, Tamil Nadu",Medium,"Christian church, religious rituals.",Spiritual,2000
1585,Nagapattinam,Tamil Nadu,Sikkal Singaravelar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1586,Nagapattinam,Tamil Nadu,Nagore Dargah,Medium,"Sufi shrine, religious rituals.",Spiritual,1500
1587,Nagercoil,Tamil Nadu,Kanyakumari,Medium,"Cape, scenic views.",Nature,2000
1588,Nagercoil,Tamil Nadu,Marthandam,Medium,"Town, urban area.",City,1000
1589,Nagercoil,Tamil Nadu,"Muttom Beach, Nagercoil",Medium,"Beach, recreational activities.",Nature,1500
1590,Nagercoil,Tamil Nadu,Kanyakumari Beach,Medium,"Beach, recreational activities.",Nature,2000
1591,Nagercoil,Tamil Nadu,Vivekananda Rock Memorial,Medium,"Memorial, historical significance.",Historical,1000
1592,Nagercoil,Tamil Nadu,Udayagiri Fort,Medium,"Historical fort, panoramic views.",Historical,1500
1593,Nagpur,Maharashtra,Deekshabhoomi,High,"Buddhist monument, significant pilgrimage site.",Spiritual,2000
1594,Nagpur,Maharashtra,Zero Mile Stone,Medium,"Historical landmark, central point of India.",Unique,1000
1595,Nagpur,Maharashtra,Dragon Palace Temple,Medium,"Beautiful temple, intricate architecture.",Spiritual,1500
1596,Nagpur,Maharashtra,Raman Science Centre,Low,"Interactive exhibits, educational experience.",City,2000
1597,Nagpur,Maharashtra,Sitabuldi Fort,Medium,"Historical fort, panoramic views.",Historical,1000
1598,Nagpur,Maharashtra,Raman Science Centre and Planetarium,Medium,"Science museum, educational exhibits.",City,1500
1599,Nagpur,Maharashtra,Sevagram,Medium,"Gandhi ashram, historical site.",Historical,2000
1600,Naharlagun,Arunachal Pradesh,Tara Devi Temple,Medium,"Hindu temple, pilgrimage site.",Spiritual,1000
1601,Naharlagun,Arunachal Pradesh,Parshuram Kund,Medium,"Hindu pilgrimage site, sacred pond.",Spiritual,1500
1602,Nainital,Uttarakhand,Naini Lake,High,"Natural lake, boating, scenic views.",Nature,2000
1603,Nainital,Uttarakhand,Naina Devi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
1604,Nainital,Uttarakhand,"Snow View Point, Nainital",Medium,"Viewpoint, panoramic vistas of Himalayas.",Nature,1500
1605,Nalanda,Bihar,Nalanda University Ruins,High,"Ancient university ruins, UNESCO World Heritage Site.",Historical,2000
1606,Nalanda,Bihar,Nalanda Archaeological Museum,Medium,"Museum, artifacts from ancient Nalanda.",Unique,1000
1607,Nalanda,Bihar,Hieun Tsang Memorial Hall,Medium,"Memorial hall, tribute to the Chinese scholar.",Unique,1500
1608,Nalgonda,Telangana,Yadagirigutta Temple,High,"Hindu temple, pilgrimage site.",Spiritual,2000
1609,Nalgonda,Telangana,Surendrapuri,High,"Religious theme park, mythological sculptures.",Unique,1000
1610,Nalgonda,Telangana,Kolanupaka Jain Temple,High,"Jain temple, architectural beauty.",Spiritual,1500
1611,Nalgonda,Telangana,Pillala Marri,High,"Old banyan tree, natural wonder.",Nature,2000
1612,Nalgonda,Telangana,Panagal Temple,High,"Hindu temple, architectural beauty.",Spiritual,1000
1613,Nalgonda,Telangana,Bhongir Fort,High,"Historical fort, trekking destination.",Historical,1500
1614,Nalgonda,Telangana,Nagarjuna Sagar Wildlife Sanctuary,High,"Wildlife sanctuary, biodiversity hotspot.",Nature,2000
1615,Nalgonda,Telangana,Mattapally Temple,High,"Hindu temple, religious rituals.",Spiritual,1000
1616,Namchi,Sikkim,Samdruptse Monastery,High,"Buddhist monastery, giant statue of Guru Padmasambhava.",Spiritual,1500
1617,Namchi,Sikkim,Char Dham Temple,High,"Hindu pilgrimage site, replicas of four revered Indian temples.",Spiritual,2000
1618,Namchi,Sikkim,Sai Mandir,Medium,"Hindu temple, spiritual sanctuary.",Spiritual,1000
1619,Namchi,Sikkim,Namchi Mahotsav Park,Medium,"Public park, cultural events.",Unique,1500
1620,Namchi,Sikkim,Tendong Hill,Medium,"Hill station, trekking trails.",Adventure,2000
1621,Namchi,Sikkim,Samdruptse Hill,Low,"Scenic hill, panoramic views.",Nature,1000
1622,Nanded,Maharashtra,Hazur Sahib Nanded,High,"Sikh pilgrimage site, historical gurdwara.",Spiritual,1500
1623,Nanded,Maharashtra,Kandhar Fort,Medium,"Historical fort, panoramic views.",Historical,2000
1624,Nanded,Maharashtra,Sita Gufa,Medium,"Cave temple, Hindu pilgrimage site.",Spiritual,1000
1625,Nandigama,Andhra Pradesh,Popular Theatre,Medium,"Movie theater, entertainment.",Entertainment,1500
1626,Nandigama,Andhra Pradesh,Sivalayam,Medium,"Hindu temple, religious rituals.",Spiritual,2000
1627,Nandigama,Andhra Pradesh,Mayuri Eco Park,Medium,"Eco park, recreational activities.",Nature,1000
